raison_sociale;libelle_region;cat;finess;Sources;tdp_c_den_etbt;tdp_c_etbt;tdp_c_icbas_etbt;tdp_c_ichaut_etbt;dec_c_den_etbt;dec_c_etbt;dec_c_icbas_etbt;dec_c_ichaut_etbt;trd_c_den_etbt;trd_c_etbt;trd_c_icbas_etbt;trd_c_ichaut_etbt;dtn1_c1_den_etbt;dtn1_c1_etbt;dtn1_c1_icbas_etbt;dtn1_c1_ichaut_etbt
C.H INTERCOMMUNAL DE CORTÉ-TATTONE;Corse;CH;2B0004246;2013;48;73.72;70.56;76.87;43;95.35;84;99;48;45.83;31;61;44;100;100;100
CENTRE SOINS DE SUITE LES CADIÈRES;Languedoc Roussillon;ESPIC/EBNL;300002169;2013;80;96.79;95.6;97.99;80;91.25;83;97;80;100;100;100;80;98.75;93;99
CHU NIMES;Languedoc Roussillon;CHU;300780038;2013;80;92.14;89.26;95.02;80;68.75;57;79;80;86.25;77;93;80;82.5;72;90
CH ALES;Languedoc Roussillon;CH;300780046;2013;73;78.78;76.71;80.86;72;93.06;84;98;73;100;100;100;73;98.63;93;99
HL PONT SAINT ESPRIT;Languedoc Roussillon;CH;300780079;2013;80;92.39;91.12;93.66;80;68.75;57;79;80;100;100;100;80;78.75;68;87
HL UZES;Languedoc Roussillon;CH;300780087;2013;80;84.19;81.76;86.62;80;31.25;21;43;80;75;64;84;80;62.5;51;73
HL LE VIGAN;Languedoc Roussillon;CH;300780095;2013;80;84.81;82.87;86.74;80;71.25;60;81;80;98.75;93;99;80;88.75;80;95
MAISON DE SANTE LA POMAREDE;Languedoc Roussillon;ESPIC/EBNL;300780111;2013;80;92;91.68;92.33;80;100;100;100;80;100;100;100;80;100;100;100
CLINIQUE VALDEGOUR;Languedoc Roussillon;Privé;300780285;2013;76;93.22;91.46;94.98;76;98.68;93;99;76;100;100;100;76;60.53;49;72
CENTRE MÉDICAL &QUOTNOTRE DAME DE LA ROUVIERE&QUOT;Languedoc Roussillon;Privé;300780400;2013;80;83.81;81.68;85.95;80;63.75;52;74;80;50;39;61;80;93.75;86;98
MAISON DE REPOS LES CHATAIGNIERS;Languedoc Roussillon;Privé;300780442;2013;80;88.66;86.45;90.87;80;90;81;96;80;97.5;91;99;80;77.5;67;86
MAISON DE REPOS LES JARDINS;Languedoc Roussillon;ESPIC/EBNL;300780475;2013;80;93.35;91.93;94.77;80;88.75;80;95;80;100;100;100;80;82.5;72;90
MAIS REPOS CONV LES OLIVIERS;Languedoc Roussillon;Privé;300780491;2013;80;69.79;67.48;72.09;80;46.25;35;58;80;46.25;35;58;80;96.25;89;99
CH PONTEILS;Languedoc Roussillon;CH;300781010;2013;80;58.67;55.75;61.59;80;90;81;96;80;60;48;71;80;87.5;78;94
MAISON CONV DOMAINE DU CROS;Languedoc Roussillon;Privé;300781440;2013;80;64.87;63.09;66.65;80;48.75;37;60;80;91.25;83;97;80;30;20;41
CLINIQUE DE QUINT FONSEGRIVES;Midi Pyrénées;Privé;310020938;2013;80;94.01;92.19;95.83;80;96.25;89;99;80;82.5;72;90;80;83.75;74;91
CENTRE GERIATRIQUE DES MINIMES;Midi Pyrénées;Privé;310021571;2013;80;78.4;76.1;80.7;80;93.75;86;98;80;97.5;91;99;80;92.5;84;97
HOPITAUX DE LUCHON;Midi Pyrénées;CH;310180013;2013;80;81.86;78.3;85.42;80;88.75;80;95;80;88.75;80;95;80;67.5;56;78
CLINIQUE MEDIPOLE GARONNE;Midi Pyrénées;Privé;310780150;2013;73;98.27;97.41;99.13;73;98.63;93;99;73;100;100;100;73;75.34;64;85
SA  CLINIQUE DU CABIROL;Midi Pyrénées;Privé;310780234;2013;80;86.35;84.93;87.76;80;96.25;89;99;80;95;88;99;80;92.5;84;97
CLINIQUE MONIE;Midi Pyrénées;Privé;310780366;2013;80;79.25;76.95;81.54;80;93.75;86;98;80;85;75;92;80;50;39;61
CHATEAU DE VERNHES;Midi Pyrénées;Privé;310780374;2013;80;99.52;99.11;99.93;80;100;100;100;80;98.75;93;99;80;100;100;100
CH SAINT-GAUDENS;Midi Pyrénées;CH;310780671;2013;80;96.14;94.32;97.96;80;97.5;91;99;80;81.25;71;89;80;97.5;91;99
HOPITAL REVEL;Midi Pyrénées;CH;310780713;2013;80;76.58;74.99;78.17;80;100;100;100;80;92.5;84;97;80;72.5;61;82
SA CLINIQUE SAINT-ROCH;Midi Pyrénées;Privé;310781125;2013;80;98.84;98.07;99.6;80;96.25;89;99;80;98.75;93;99;80;95;88;99
SA CENTRE CONVALESCENCE MONTVERT;Midi Pyrénées;Privé;310781174;2013;80;91.66;90.02;93.29;80;85;75;92;80;62.5;51;73;80;56.25;45;67
CHR TOULOUSE;Midi Pyrénées;CHU;310781406;2013;80;80.39;77.62;83.17;80;98.75;93;99;80;92.5;84;97;80;91.25;83;97
CLINIQUE DE LAGARDELLE;Midi Pyrénées;Privé;310781695;2013;80;84.83;83.15;86.52;80;80;70;88;80;100;100;100;80;92.5;84;97
CLINIQUES DU MIDI VERDAICH;Midi Pyrénées;Privé;310781984;2013;80;77.92;74.9;80.95;80;97.5;91;99;80;85;75;92;80;67.5;56;78
MRC LE VAL DES CYGNES;Midi Pyrénées;Privé;310782396;2013;80;94.49;92.73;96.24;80;98.75;93;99;80;95;88;99;80;67.5;56;78
C.R.F  LES CEDRES;Midi Pyrénées;Privé;310784830;2013;80;68.43;66.11;70.75;80;96.25;89;99;80;75;64;84;80;52.5;41;64
HOPITAL LOCAL DE MURET;Midi Pyrénées;CH;310786256;2013;80;87.45;85.42;89.48;80;97.5;91;99;80;96.25;89;99;80;90;81;96
CLINIQUE DES PYRENEES;Midi Pyrénées;Privé;310786389;2013;80;87.97;85.86;90.08;80;70;59;80;80;98.75;93;99;80;97.5;91;99
SSR DOMAINE DE LA CADENE;Midi Pyrénées;Privé;310786702;2013;80;96.28;95.13;97.44;80;96.25;89;99;80;100;100;100;80;80;70;88
CLINIQUE SAINT ORENS;Midi Pyrénées;Privé;310790472;2013;80;88.94;87.09;90.8;80;82.5;72;90;;;;;80;100;100;100
MRC LE MARQUISAT;Midi Pyrénées;Privé;310792635;2013;80;86.78;85.38;88.18;80;98.75;93;99;80;100;100;100;80;82.5;72;90
M.R.C. SAINTE MARIE;Midi Pyrénées;Privé;310793617;2013;80;68.55;66.14;70.96;80;51.25;40;63;80;97.5;91;99;80;80;70;88
ETABLISSEMENT PUBLIC DE SANTE DE LOMAGNE;Midi Pyrénées;CH;320004310;2013;80;68.04;64.72;71.35;80;18.75;11;29;80;93.75;86;98;80;83.75;74;91
CH AUCH;Midi Pyrénées;CH;320780117;2013;80;68.96;65.89;72.02;80;100;100;100;80;98.75;93;99;80;72.5;61;82
CH CONDOM;Midi Pyrénées;CH;320780133;2013;80;83.2;80.68;85.71;80;85;75;92;80;91.25;83;97;80;86.25;77;93
HOPITAL GIMONT;Midi Pyrénées;CH;320780158;2013;80;89.63;86.89;92.37;71;73.24;61;83;80;92.5;84;97;69;78.26;67;87
HOPITAL LOMBEZ;Midi Pyrénées;CH;320780174;2013;80;95.61;94.34;96.88;80;85;75;92;80;97.5;91;99;80;97.5;91;99
HOPITAL MAUVEZIN;Midi Pyrénées;CH;320780182;2013;70;57.38;54.43;60.33;66;22.73;13;35;70;98.57;92;99;66;72.73;60;83
CENTRE HOSPITALIER DE MIRANDE;Midi Pyrénées;CH;320780190;2013;70;69.25;66.79;71.71;58;13.79;6;25;70;100;100;100;62;75.81;63;86
HOPITAL NOGARO;Midi Pyrénées;CH;320780208;2013;80;43.04;41.11;44.96;71;26.76;17;39;80;97.5;91;99;80;63.75;52;74
HOPITAL VIC-FEZENSAC;Midi Pyrénées;CH;320780216;2013;80;58.91;56.21;61.61;80;5;1;12;80;88.75;80;95;80;61.25;50;72
C.R.F. DE ROQUETAILLADE;Midi Pyrénées;ESPIC/EBNL;320780323;2013;52;72.13;69.48;74.77;52;86.54;74;94;52;96.15;87;99;7;28.57;;
CRF  SAINT - BLANCARD;Midi Pyrénées;Privé;320784333;2013;80;97.19;96.17;98.2;80;96.25;89;99;80;100;100;100;80;91.25;83;97
MAISON SANTE MARIE GALENE;Aquitaine;ESPIC/EBNL;330000217;2013;80;96.44;95.31;97.58;80;96.25;89;99;80;85;75;92;80;91.25;83;97
M.S.P.B. BAGATELLE;Aquitaine;ESPIC/EBNL;330000340;2013;80;69.67;67.6;71.75;80;91.25;83;97;80;98.75;93;99;80;83.75;74;91
CTRE HOSP INTERCOMMUNAL SUD GIRONDE;Aquitaine;CH;330027509;2013;80;89.23;87.38;91.08;80;97.5;91;99;80;100;100;100;80;100;100;100
LES FLOTS;Aquitaine;Privé;330057654;2013;80;92.02;90.72;93.32;80;35;25;47;80;100;100;100;80;85;75;92
CLINIQUE D'ARCACHON;Aquitaine;Privé;330780206;2013;32;73.02;69.21;76.83;28;100;100;100;32;87.5;71;97;30;63.33;44;80
POLYCLINIQUE BORDEAUX RIVE DROITE;Aquitaine;Privé;330780263;2013;38;69.9;66.37;73.44;20;55;32;77;38;97.37;86;99;5;100;;
FONTAINES DE MONJOUS;Aquitaine;ESPIC/EBNL;330780370;2013;80;85.58;83.79;87.36;80;98.75;93;99;80;95;88;99;80;88.75;80;95
CLINIQUE MUTUALISTE DU MEDOC;Aquitaine;ESPIC/EBNL;330780495;2013;80;83.25;80.83;85.66;77;67.53;56;78;80;75;64;84;80;63.75;52;74
POLYCLINIQUE SAINT MARTIN;Aquitaine;Privé;330780503;2013;80;87.08;84.82;89.33;80;63.75;52;74;80;97.5;91;99;80;82.5;72;90
CLINIQUE MUTUALISTE;Aquitaine;ESPIC/EBNL;330780529;2013;72;99.34;98.83;99.85;61;98.36;91;99;72;100;100;100;72;98.61;92;99
LA PIGNADA;Aquitaine;ESPIC/EBNL;330780560;2013;80;86.54;84.81;88.27;80;98.75;93;99;80;100;100;100;80;100;100;100
DOMAINE DE HAUTERIVE S.A.;Aquitaine;Privé;330780719;2013;80;75.17;73.07;77.26;80;82.5;72;90;80;36.25;26;48;80;100;100;100
MAIS DE CONV. L'AQUITANIA;Aquitaine;Privé;330780735;2013;80;91.71;90.13;93.3;80;95;88;99;80;83.75;74;91;80;86.25;77;93
CENTRE DE SOINS DE SUITE ET RÉADAPTATION CHATEAUNEUF;Aquitaine;ESPIC/EBNL;330780743;2013;80;96.42;95.19;97.65;80;100;100;100;80;97.5;91;99;80;96.25;89;99
CENTRE DE SOINS DE SUITE ET RÉADAPTATION LES LAURIERS;Aquitaine;ESPIC/EBNL;330780750;2013;80;93.07;91.51;94.62;80;87.5;78;94;80;96.25;89;99;80;96.25;89;99
L'AJONCIÈRE;Aquitaine;ESPIC/EBNL;330780768;2013;80;94.03;92.27;95.79;80;98.75;93;99;80;86.25;77;93;80;78.75;68;87
CRF LA TOUR DE GASSIES;Aquitaine;ESPIC/EBNL;330781139;2013;74;79.42;76.73;82.11;73;54.79;43;67;74;48.65;37;61;70;45.71;34;58
C.R.F LES GRANDS CHENES;Aquitaine;Privé;330781154;2013;80;92.55;90.79;94.31;80;78.75;68;87;80;100;100;100;79;40.51;30;52
C.H.U. DE BORDEAUX;Aquitaine;CHU;330781196;2013;80;80.46;78.21;82.71;80;90;81;96;80;91.25;83;97;80;42.5;31;54
CENTRE HOSPITALIER D'ARCACHON;Aquitaine;CH;330781204;2013;80;85.65;83.33;87.97;80;100;100;100;80;100;100;100;80;81.25;71;89
CENTRE HOSPITALIER DE BAZAS;Aquitaine;CH;330781212;2013;80;82.54;79.68;85.4;80;97.5;91;99;80;75;64;84;80;96.25;89;99
CH DE LA HAUTE GIRONDE;Aquitaine;CH;330781220;2013;40;85.98;83.29;88.66;34;94.12;80;99;40;65;48;79;39;89.74;76;97
CENTRE HOSPITALIER DE LIBOURNE;Aquitaine;CH;330781253;2013;80;93.75;91.61;95.89;78;98.72;93;99;80;85;75;92;77;88.31;79;95
C.H STE FOY LA GRANDE;Aquitaine;CH;330781261;2013;80;84.96;82.68;87.24;76;77.63;67;86;80;100;100;100;75;66.67;55;77
CENTRE HOSPITALIER DE MONSEGUR;Aquitaine;CH;330781279;2013;25;92.31;;;25;100;100;100;25;100;100;100;25;96;80;99
HÔPITAL D'INSTRUCTION DES ARMÉES ROBERT PICQUE;Service de santé des armées;CH;330781303;2013;70;88.3;87.19;89.4;68;76.47;65;86;70;100;100;100;70;100;100;100
POLYCLINIQUE DE BORDEAUX - TONDU;Aquitaine;Privé;330781402;2013;80;85.13;84.67;85.58;80;100;100;100;80;0;0;0;80;0;0;0
MAIS REPOS LA ROSE DES SABLES;Aquitaine;Privé;330781626;2013;80;78.02;76.35;79.69;80;60;48;71;80;91.25;83;97;80;53.75;42;65
CHATEAU LEMOINE READAPTATION;Aquitaine;Privé;330802778;2013;80;87.88;86.37;89.4;80;88.75;80;95;80;100;100;100;80;93.75;86;98
INSTITUT SAINT PIERRE;Languedoc Roussillon;ESPIC/EBNL;340000025;2013;72;93.99;91.67;96.31;71;22.54;13;34;72;86.11;76;93;2;100;;
CENTRE ORTHOPEDIQUE MAGUELONE;Languedoc Roussillon;ESPIC/EBNL;340000439;2013;80;96.63;95.6;97.67;80;100;100;100;80;95;88;99;80;35;25;47
CENTRE PROPARA;Languedoc Roussillon;ESPIC/EBNL;340001064;2013;24;84.94;;;24;79.17;58;93;24;66.67;45;84;24;62.5;41;81
CLINIQUE DU PIC SAINT LOUP;Languedoc Roussillon;Privé;340009018;2013;80;84.17;82.01;86.34;80;85;75;92;80;92.5;84;97;80;76.25;65;85
HL BEDARIEUX;Languedoc Roussillon;CH;340009893;2013;80;72.69;69.61;75.77;80;77.5;67;86;80;32.5;22;44;80;85;75;92
LES HOPITAUX DU BASSIN DE THAU;Languedoc Roussillon;CH;340011295;2013;80;82.89;80.33;85.46;80;97.5;91;99;80;57.5;46;69;80;77.5;67;86
CRF BOURGÉS;Languedoc Roussillon;Privé;340019090;2013;72;94.87;93.21;96.53;72;98.61;92;99;72;80.56;69;89;72;12.5;6;22
CH BEZIERS;Languedoc Roussillon;CH;340780055;2013;80;79.97;77.12;82.81;74;87.84;78;94;80;85;75;92;80;85;75;92
C.R.F. LE VALD'ORB;Languedoc Roussillon;Privé;340780196;2013;80;99.62;99.25;99.99;80;98.75;93;99;80;98.75;93;99;80;88.75;80;95
C.R.F. STER;Languedoc Roussillon;Privé;340780212;2013;80;94.7;93.14;96.25;80;96.25;89;99;80;93.75;86;98;80;76.25;65;85
MAISON DE REPOS LE COLOMBIER;Languedoc Roussillon;Privé;340780253;2013;80;98.73;98;99.47;80;97.5;91;99;80;100;100;100;80;96.25;89;99
HL SAINT-PONS;Languedoc Roussillon;CH;340780469;2013;80;82.36;80.33;84.38;80;25;16;36;80;95;88;99;80;98.75;93;99
CHU MONTPELLIER;Languedoc Roussillon;CHU;340780477;2013;80;87.47;85.62;89.31;80;67.5;56;78;80;97.5;91;99;80;63.75;52;74
HL LODEVE;Languedoc Roussillon;CH;340780519;2013;80;70.29;68.64;71.93;76;13.16;6;23;80;97.5;91;99;78;66.67;55;77
HL CLERMONT- L' HERAULT;Languedoc Roussillon;CH;340780543;2013;80;93.51;91.66;95.36;77;92.21;84;97;80;100;100;100;80;97.5;91;99
CLINIQUE DU SOUFFLE LA VALONIE;Languedoc Roussillon;Privé;340780568;2013;80;96.91;95.77;98.04;80;85;75;92;80;96.25;89;99;80;92.5;84;97
CLINIQUE MUTUALISTE JEAN LEON;Languedoc Roussillon;Privé;340780816;2013;80;88.43;86.36;90.5;80;93.75;86;98;80;95;88;99;80;96.25;89;99
MAIS REPOS CONV PLEIN SOLEIL;Languedoc Roussillon;Privé;340780824;2013;80;82.52;79.88;85.16;80;50;39;61;80;93.75;86;98;80;78.75;68;87
C.R.F.  LE CASTELET;Languedoc Roussillon;Privé;340780857;2013;80;94.69;93.41;95.96;80;91.25;83;97;80;86.25;77;93;80;55;43;66
MSM MAS DE ROCHET;Languedoc Roussillon;ESPIC/EBNL;340781608;2013;80;81.99;79.28;84.7;80;60;48;71;80;97.5;91;99;80;77.5;67;86
C.R.F. LA PETITE PAIX;Languedoc Roussillon;Privé;340782002;2013;80;93.94;92.61;95.28;80;98.75;93;99;80;92.5;84;97;80;91.25;83;97
C.R.F.  FONTFROIDE;Languedoc Roussillon;Privé;340789981;2013;80;80.77;78.84;82.7;80;96.25;89;99;80;50;39;61;80;67.5;56;78
C.R.F. STER;Languedoc Roussillon;Privé;340796093;2013;80;91.25;89.87;92.63;80;98.75;93;99;80;97.5;91;99;80;82.5;72;90
MAIS REPOS CONV PECH DU SOLEIL;Languedoc Roussillon;Privé;340798552;2013;80;70.91;69.35;72.46;80;86.25;77;93;80;73.75;63;83;80;75;64;84
CENTRE HOSPITALIER ST MALO;Bretagne;CH;350000022;2013;80;96.81;95.12;98.51;80;88.75;80;95;80;76.25;65;85;80;100;100;100
CENTRE HOSPITALIER FOUGERES;Bretagne;CH;350000030;2013;80;68.46;65.47;71.46;80;91.25;83;97;80;73.75;63;83;80;73.75;63;83
CENTRE HOSPITALIER REDON;Bretagne;CH;350000048;2013;80;82.55;80.53;84.57;80;76.25;65;85;80;71.25;60;81;80;88.75;80;95
CENTRE HOSPITALIER VITRE;Bretagne;CH;350000055;2013;80;79;77.47;80.53;80;71.25;60;81;80;76.25;65;85;80;100;100;100
HÔPITAL ST THOMAS DE VILLENEUVE BAIN DE BRETAGNE;Bretagne;ESPIC/EBNL;350000063;2013;80;83.57;80.53;86.62;80;30;20;41;80;98.75;93;99;80;95;88;99
HÔPITAL LA PROVIDENCE GARDINER DINARD;Bretagne;ESPIC/EBNL;350000071;2013;80;90.25;88.55;91.94;80;31.25;21;43;80;97.5;91;99;80;96.25;89;99
CLINIQUE ST JOSEPH COMBOURG;Bretagne;ESPIC/EBNL;350000204;2013;80;90.76;88.91;92.61;80;95;88;99;80;100;100;100;80;55;43;66
POLYCLINIQUE SAINT LAURENT;Bretagne;Privé;350002192;2013;80;93.94;92.58;95.3;80;72.5;61;82;80;88.75;80;95;80;98.75;93;99
CLINIQUE ST YVES RENNES;Bretagne;ESPIC/EBNL;350002200;2013;80;83.77;80.91;86.62;80;50;39;61;80;95;88;99;80;100;100;100
HÔPITAL LOCAL JANZE;Bretagne;CH;350002291;2013;80;61.87;59.35;64.38;72;31.94;21;44;80;58.75;47;70;80;97.5;91;99
HÔPITAL LOCAL MONTFORT S/ MEU;Bretagne;CH;350002317;2013;80;62.07;59.42;64.72;80;20;12;30;80;51.25;40;63;80;42.5;31;54
HÔPITAL LOCAL ST MEEN LE GRAND;Bretagne;CH;350002333;2013;80;50.95;48.88;53.01;80;16.25;9;26;80;82.5;72;90;80;58.75;47;70
POLE MPR SAINT HELIER RENNES;Bretagne;ESPIC/EBNL;350002564;2013;56;92.82;90.19;95.46;56;91.07;80;97;56;100;100;100;56;83.93;72;92
MRC ST THOMAS DE VILLENEUVE BAGUER MORVAN;Bretagne;ESPIC/EBNL;350002911;2013;80;82.12;81.16;83.07;80;95;88;99;80;98.75;93;99;80;93.75;86;98
MRC LA PIERRE BLANCHE BOURG DES COMPTES;Bretagne;ESPIC/EBNL;350002929;2013;80;77.98;75.51;80.45;80;67.5;56;78;80;88.75;80;95;80;100;100;100
CENTRE DE GÉRIATRIE DE CHANTEPIE;Bretagne;ESPIC/EBNL;350005021;2013;80;93.81;92.66;94.97;80;55;43;66;80;96.25;89;99;80;88.75;80;95
CHRU DE RENNES;Bretagne;CHU;350005179;2013;80;80.23;77.96;82.5;80;20;12;30;80;65;53;75;80;55;43;66
CENTRE REY LEROUX,;Bretagne;Privé;350005278;2013;3;48.72;;;3;0;;;3;100;;;0;;;
URFMP VERN SUR SEICHE;Bretagne;ESPIC/EBNL;350008579;2013;41;75.42;72.73;78.12;41;87.8;74;96;41;92.68;80;99;41;24.39;12;40
HÔPITAL LOCAL HAMON VAUJOYEUX CANCALE;Bretagne;CH;350040291;2013;80;81.22;79.54;82.89;78;87.18;78;94;80;100;100;100;80;96.25;89;99
MAISON DE SOINS EN ADDICTOLOGIE : PHILAE;Bretagne;Privé;350044756;2013;80;96.63;95.47;97.8;80;98.75;93;99;80;100;100;100;80;100;100;100
C. H. DES MARCHES DE BRETAGNE;Bretagne;CH;350048518;2013;80;77.31;74.74;79.88;80;28.75;19;40;80;96.25;89;99;80;83.75;74;91
C H  ISSOUDUN;Centre;CH;360000046;2013;80;69.38;67.36;71.39;80;31.25;21;43;80;85;75;92;80;51.25;40;63
C.H. DE CHATEAUROUX;Centre;CH;360000053;2013;80;84.42;81.83;87.01;80;97.5;91;99;80;76.25;65;85;80;72.5;61;82
C. H.  LA CHATRE;Centre;CH;360000061;2013;80;77.1;74.24;79.96;80;58.75;47;70;80;100;100;100;80;91.25;83;97
C H  LE BLANC;Centre;CH;360000079;2013;80;88.74;87.22;90.27;80;93.75;86;98;80;77.5;67;86;80;85;75;92
H.L. ST-ROCH BUZANCAIS;Centre;CH;360000095;2013;63;50.6;47.51;53.69;56;28.57;17;42;63;98.41;91;99;57;28.07;17;42
H.L. CHATILLON / INDRE;Centre;CH;360000103;2013;80;73.98;71.4;76.57;80;66.25;55;76;80;81.25;71;89;80;65;53;75
CTRE CONV. ET DIET.MANOIR EN BERRY;Centre;Privé;360002232;2013;80;99.23;98.66;99.81;80;95;88;99;80;28.75;19;40;80;100;100;100
CLINIQUE VELPEAU;Centre;Privé;370000150;2013;80;85.48;82.94;88.03;80;90;81;96;80;17.5;10;28;80;3.75;1;11
M.R. ET C. LE COURBAT;Centre;ESPIC/EBNL;370000184;2013;80;93.92;92.55;95.28;80;93.75;86;98;80;82.5;72;90;80;65;53;75
C.R.F  LE CLOS SAINT-VICTOR;Centre;ESPIC/EBNL;370000218;2013;80;82.6;81.21;83.98;80;97.5;91;99;80;100;100;100;80;78.75;68;87
CTRE POST CURE ALCOOL MALVAU;Centre;ESPIC/EBNL;370000341;2013;80;98.94;98.36;99.53;80;98.75;93;99;80;52.5;41;64;80;53.75;42;65
MAISON READ. FONCT. NEUR BEL AIR;Centre;ESPIC/EBNL;370000374;2013;73;80.18;77.04;83.32;73;61.64;49;73;73;98.63;93;99;72;48.61;37;61
C.H.U. DE TOURS;Centre;CHU;370000481;2013;80;95.09;94.04;96.14;80;98.75;93;99;80;67.5;56;78;80;81.25;71;89
CHI AMBOISE- CHATEAU RENAULT;Centre;CH;370000564;2013;80;89.44;87.02;91.86;80;58.75;47;70;80;71.25;60;81;80;85;75;92
C H  CHINONAIS;Centre;CH;370000606;2013;80;81.78;79.96;83.6;80;98.75;93;99;80;62.5;51;73;80;40;29;52
CH LOCHES;Centre;CH;370000614;2013;80;91;88.9;93.1;80;100;100;100;80;98.75;93;99;80;80;70;88
"CENTRE POST CURE ""LOUIS SEVESTRE""";Centre;CH;370000713;2013;80;98.45;97.59;99.32;80;77.5;67;86;80;100;100;100;80;98.75;93;99
CH JEAN PAGES DE LUYNES;Centre;CH;370002701;2013;80;91.97;90.21;93.74;80;83.75;74;91;80;91.25;83;97;80;87.5;78;94
PÔLE SANTÉ LÉONARD DE VINCI;Centre;Privé;370007569;2013;80;79.74;78.35;81.12;80;77.5;67;86;80;98.75;93;99;80;98.75;93;99
"MAISON READ. FONCT.""BOIS GIBERT""";Centre;ESPIC/EBNL;370100539;2013;80;93.65;92.49;94.82;80;100;100;100;80;100;100;100;80;100;100;100
ANNEXE DU CTRE DE SOINS DE VIRIEU- SITE DE BOURGOIN;Rhône Alpes;ESPIC/EBNL;380005868;2013;80;96.97;95.77;98.18;80;98.75;93;99;80;72.5;61;82;80;97.5;91;99
CENTRE DE SOINS DE SUITE LES GRANGES;Rhône Alpes;Privé;380005918;2013;80;92.47;91.18;93.76;80;100;100;100;80;85;75;92;80;100;100;100
CENTRE MEDICAL ROCHEPLANE LES ANGUISSES;Rhône Alpes;ESPIC/EBNL;380009928;2013;80;89.01;86.76;91.27;80;83.75;74;91;80;70;59;80;80;88.75;80;95
GROUPE HOSPIT. MUTUALISTE DE GRENOBLE;Rhône Alpes;ESPIC/EBNL;380012658;2013;61;66.1;64.29;67.91;55;92.73;82;98;61;95.08;86;99;59;100;100;100
CRF ST VINCENT DE PAUL;Rhône Alpes;Privé;380017095;2013;80;59.13;56.28;61.99;80;28.75;19;40;80;61.25;50;72;80;52.5;41;64
HOPITAL RHUMATOLOGIQUE URIAGE;Rhône Alpes;CH;380780023;2013;80;90.27;88.18;92.37;80;71.25;60;81;80;88.75;80;95;80;91.25;83;97
CENTRE HOSPITALIER DE LA MURE;Rhône Alpes;CH;380780031;2013;80;68.45;65.64;71.27;69;56.52;44;68;80;28.75;19;40;77;19.48;11;30
CTRE HOSPITALIER PONT BEAUVOISIN;Rhône Alpes;CH;380780056;2013;80;94.42;92.92;95.91;80;97.5;91;99;80;96.25;89;99;80;100;100;100
CENTRE HOSPITALIER DE RIVES;Rhône Alpes;CH;380780072;2013;58;92.04;90.47;93.61;58;86.21;75;94;58;58.62;45;71;58;98.28;91;99
CHU GRENOBLE;Rhône Alpes;CHU;380780080;2013;80;94.37;91.89;96.84;80;80;70;88;80;83.75;74;91;80;85;75;92
CENTRE HOSPITALIER  DE TULLINS;Rhône Alpes;CH;380780098;2013;80;94.9;93.27;96.53;80;97.5;91;99;80;95;88;99;80;92.5;84;97
CENTRE HOSPITALIER SAINT-MARCELLIN;Rhône Alpes;CH;380780171;2013;80;87.2;85.07;89.34;80;97.5;91;99;80;88.75;80;95;80;85;75;92
CENTRE HOSPITALIER  ST LAURENT DU PONT;Rhône Alpes;CH;380780213;2013;80;81.14;78.11;84.17;73;84.93;75;92;80;75;64;84;80;91.25;83;97
HOPITAL LOCAL DE ST.GEOIRE EN VALDAINE;Rhône Alpes;CH;380780239;2013;80;59.54;56.63;62.44;80;46.25;35;58;80;98.75;93;99;80;83.75;74;91
CLINIQUE DU GRESIVAUDAN;Rhône Alpes;ESPIC/EBNL;380780312;2013;66;76.11;72.58;79.64;65;64.62;52;76;66;72.73;60;83;62;77.42;65;87
CENTRE HENRI BAZIRE;Rhône Alpes;ESPIC/EBNL;380780379;2013;80;75.34;74.13;76.55;80;32.5;22;44;80;73.75;63;83;80;100;100;100
CENTRE DE SOINS DE VIRIEU - SITE DE VIRIEU;Rhône Alpes;ESPIC/EBNL;380781138;2013;80;97.11;96.16;98.05;80;98.75;93;99;80;91.25;83;97;80;97.5;91;99
H. LOCAL DUFEILLANT- BEAUREPAIRE;Rhône Alpes;CH;380781351;2013;61;60.98;56.71;65.25;53;41.51;28;56;61;98.36;91;99;59;76.27;63;86
LE MAS DES CHAMPS - ST PRIM;Rhône Alpes;ESPIC/EBNL;380781369;2013;80;89.1;87.2;91;80;95;88;99;80;97.5;91;99;80;76.25;65;85
CENTRE HOSPITALIER DE VIENNE;Rhône Alpes;CH;380781435;2013;80;94.9;92.94;96.85;80;92.5;84;97;80;33.75;24;45;80;73.75;63;83
HOPITAL LOCAL LA TOUR DU PIN;Rhône Alpes;CH;380782698;2013;80;64.5;62.53;66.47;80;96.25;89;99;80;71.25;60;81;80;85;75;92
HOPITAL LOCAL DE MORESTEL;Rhône Alpes;CH;380782771;2013;80;79.95;76.95;82.95;80;86.25;77;93;80;95;88;99;80;83.75;74;91
CENTRE MEDICAL LA GRANGE/MONT;Franche Comté;ESPIC/EBNL;390000172;2013;79;98.44;97.7;99.18;79;97.47;91;99;79;91.14;83;96;79;100;100;100
CH LONS;Franche Comté;CH;390780146;2013;80;72.93;70.22;75.65;80;76.25;65;85;80;68.75;57;79;80;60;48;71
CH ST CLAUDE;Franche Comté;CH;390780161;2013;80;69.77;66.79;72.75;67;71.64;59;82;80;100;100;100;80;81.25;71;89
CH SALINS LES BAINS;Franche Comté;CH;390780179;2013;80;93.18;91.47;94.9;80;85;75;92;80;97.5;91;99;80;98.75;93;99
